Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_word;sentence;word;randomize_4
Am Montag hält Karim ein Referat über;tiere;4;52;58;67;8;9;0,059701493;3,997783013;eh;10;010;eh;s_eh_010p.wav;s_eh_010tw;0,231716919;s_eh_010p.wav;s_eh_010tw_1.wav;Stimuli/s_eh_010p.wav;Stimuli/s_eh_010tw_1.wav;0,012973721
Das Parfüm der Rezeptionistin duftete angenehm nach;rosen;26;15;19;66;8;82;0,393939394;2,042440331;em_hc;77;077;em;s_em_077p.wav;s_em_hc_077tw;0,171671864;s_em_077p.wav;s_em_hc_077tw_12.wav;Stimuli/s_em_077p.wav;Stimuli/s_em_hc_077tw_12.wav;0,017326195
Der Dünger nährt den ;delfin;0;;3;40;5;6;0;0,233172602;el_mm;98;098;el;s_el_098p.wav;s_el_mm_098tw;0,450293263;s_el_098p.wav;s_el_mm_098tw_1.wav;Stimuli/s_el_098p.wav;Stimuli/s_el_mm_098tw_1.wav;0,017544158
Der Winter war sehr hart in diesem ;schal;0;;1;44;8;10;0;0;el_mm;156;156;el;s_el_156p.wav;s_el_mm_156tw;0,644205426;s_el_156p.wav;s_el_mm_156tw_6.wav;Stimuli/s_el_156p.wav;Stimuli/s_el_mm_156tw_6.wav;0,017892567
Ich beneide meine Nachbarin für ihren schönen;hals;1;8;14;59;8;207;0,016949153;1,361699769;em_lc;247;247;em;s_em_247p.wav;s_em_lc_247tw;0,652751347;s_em_247p.wav;s_em_lc_247tw_3.wav;Stimuli/s_em_247p.wav;Stimuli/s_em_lc_247tw_3.wav;0,020371008
Nach einer langen Autofahrt erreichte die Familie endlich das;ziel;53;8;8;68;10;315;0,779411765;0,933840517;em_hc;375;375;em;s_em_375p.wav;s_em_hc_375tw;0,289829413;s_em_375p.wav;s_em_hc_375tw_1.wav;Stimuli/s_em_375p.wav;Stimuli/s_em_hc_375tw_1.wav;0,023673185
Der Wetterbericht warnt vor heftigem;gewitter;15;1;7;58;6;143;0,25862069;1,562372149;em_hc;152;152;em;s_em_152p.wav;s_em_hc_152tw;0,086066911;s_em_152p.wav;s_em_hc_152tw_12.wav;Stimuli/s_em_152p.wav;Stimuli/s_em_hc_152tw_12.wav;0,027997279
Frau Martin stellten den bösen Schüler in die ;Grube;0;;2;47;9;21;0;0,10296666;el_mm;231;231;el;s_el_231p.wav;s_el_mm_231tw;0,937193866;s_el_231p.wav;s_el_mm_231tw_6.wav;Stimuli/s_el_231p.wav;Stimuli/s_el_mm_231tw_6.wav;0,028731479
Der Winter ist die beste Zeit zum;skifahren;29;12;14;66;8;145;0,439393939;1,878044805;em_hc;154;154;em;s_em_154p.wav;s_em_hc_154tw;0,825364565;s_em_154p.wav;s_em_hc_154tw_6.wav;Stimuli/s_em_154p.wav;Stimuli/s_em_hc_154tw_6.wav;0,036097271
In der Dunkelheit greift Theo nach der;zahnbürste;1;14;15;67;8;255;0,014925373;1,810480301;em_lc;308;308;em;s_em_308p.wav;s_em_lc_308tw;0,450427045;s_em_308p.wav;s_em_lc_308tw_1.wav;Stimuli/s_em_308p.wav;Stimuli/s_em_lc_308tw_1.wav;0,040133321
Das Tropfen des Wasserhahns hinterließ einen dunkeln;klang;1;5;13;68;8;83;0,014705882;1,411263519;em_lc;79;079;em;s_em_079p.wav;s_em_lc_079tw;0,166424838;s_em_079p.wav;s_em_lc_079tw_12.wav;Stimuli/s_em_079p.wav;Stimuli/s_em_lc_079tw_12.wav;0,052027806
Nach den vielen Stufen war sie außer;atem;53;1;4;66;8;309;0,803030303;0,601740811;el;368;368;el;s_el_368p.wav;s_el_368tw;0,506928222;s_el_368p.wav;s_el_368tw_3.wav;Stimuli/s_el_368p.wav;Stimuli/s_el_368tw_3.wav;0,072618088
Rauchen gefährdert die ;Vorhänge;0;;3;53;4;33;0;0,186837059;el_mm;389;389;el;s_el_389p.wav;s_el_mm_389tw;0,665636497;s_el_389p.wav;s_el_mm_389tw_6.wav;Stimuli/s_el_389p.wav;Stimuli/s_el_mm_389tw_6.wav;0,074189323
Die Köchin würzte das Essen mit;ingwer;1;5;14;68;7;172;0,014705882;1,465469918;em_lc;200;200;em;s_em_200p.wav;s_em_lc_200tw;0,050490691;s_em_200p.wav;s_em_lc_200tw_12.wav;Stimuli/s_em_200p.wav;Stimuli/s_em_lc_200tw_12.wav;0,077466544
Trotz der Turbulenzen bringt der Pilot das Flugzeug sicher nach;hause;30;6;15;66;11;336;0,454545455;1,625007325;em_hc;406;406;em;s_em_406p.wav;s_em_hc_406tw;0,257449454;s_em_406p.wav;s_em_hc_406tw_1.wav;Stimuli/s_em_406p.wav;Stimuli/s_em_hc_406tw_1.wav;0,078878483
Der Vogel im Baum singt ein schönes;lied;64;2;4;67;8;140;0,955223881;0,232028182;el;148;148;el;s_el_148p.wav;s_el_148tw;0,412099012;s_el_148p.wav;s_el_148tw_1.wav;Stimuli/s_el_148p.wav;Stimuli/s_el_148tw_1.wav;0,085001473
Wir planen am Wochenende einen;umtrunk;1;9;10;65;6;351;0,015384615;0,944285867;em_lc;427;427;em;s_em_427p.wav;s_em_lc_427tw;0,500218223;s_em_427p.wav;s_em_lc_427tw_1.wav;Stimuli/s_em_427p.wav;Stimuli/s_em_lc_427tw_1.wav;0,100724001
Der Skilift schaukelte bedenklich im;wind;64;7;7;76;6;7;0,842105263;0,668820597;el;140;140;el;s_el_140p.wav;s_el_140tw;0,60270142;s_el_140p.wav;s_el_140tw_3.wav;Stimuli/s_el_140p.wav;Stimuli/s_el_140tw_3.wav;0,101628814
Ich verbringe meine Ferien gerne am;weiher;1;6;6;67;7;215;0,014925373;1,176330127;em_lc;257;257;em;s_em_257p.wav;s_em_lc_257tw;0,866047604;s_em_257p.wav;s_em_lc_257tw_6.wav;Stimuli/s_em_257p.wav;Stimuli/s_em_lc_257tw_6.wav;0,109581901
In den Bergen übernachten die Gäste in einer gemütlichen;hütte;50;3;9;66;10;250;0,757575758;1,01595635;em_hc;304;304;em;s_em_304p.wav;s_em_hc_304tw;0,741517482;s_em_304p.wav;s_em_hc_304tw_3.wav;Stimuli/s_em_304p.wav;Stimuli/s_em_hc_304tw_3.wav;0,111897888
Bei einem Strandspaziergang entdeckten sie am Ufer einen;wal;11;31;31;67;9;52;0,164179104;3,090458648;eh;47;047;eh;s_eh_047p.wav;s_eh_047tw;0,243020308;s_eh_047p.wav;s_eh_047tw_1.wav;Stimuli/s_eh_047p.wav;Stimuli/s_eh_047tw_1.wav;0,120867715
Im Streichelzoo gibt es freche;igel;1;5;11;65;6;238;0,015384615;1,435100284;em_lc;285;285;em;s_em_285p.wav;s_em_lc_285tw;0,683430947;s_em_285p.wav;s_em_lc_285tw_3.wav;Stimuli/s_em_285p.wav;Stimuli/s_em_lc_285tw_3.wav;0,128774257
Der Bieber baut seinen Damm aus vielen;ästen;31;1;10;67;8;90;0,462686567;1,675670624;em_hc;93;093;em;s_em_093p.wav;s_em_hc_093tw;0,661985526;s_em_093p.wav;s_em_hc_093tw_3.wav;Stimuli/s_em_093p.wav;Stimuli/s_em_hc_093tw_3.wav;0,129746463
