Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_1
Der Dünger nährt den ,delfin,0,,3,40,5,6,0.0,0.2331726023738699,el_mm,98,98,el,s_el_098p.wav,s_el_mm_098tw,0.4502932629193779,s_el_098p.wav,s_el_mm_098tw_3.wav,Stimuli/s_el_098p.wav,Stimuli/s_el_mm_098tw_3.wav,0.7738731069040083
Das Tropfen des Wasserhahns hinterließ einen dunkeln,klang,1,5.0,13,68,8,83,0.01470588235294118,1.411263519373775,em_lc,79,79,em,s_em_079p.wav,s_em_lc_079tw,0.16642483838523836,s_em_079p.wav,s_em_lc_079tw_1.wav,Stimuli/s_em_079p.wav,Stimuli/s_em_lc_079tw_1.wav,0.7788027393818383
Der Fuchs lauerte hinter einem,garten,1,7.0,19,68,6,101,0.01470588235294118,2.02122000819814,em_lc,111,111,em,s_em_111p.wav,s_em_lc_111tw,0.25301010180860994,s_em_111p.wav,s_em_lc_111tw_1.wav,Stimuli/s_em_111p.wav,Stimuli/s_em_lc_111tw_1.wav,0.7819799157993215
Zum 20-jährigen Jubiläum bekam die Sekräterin von ihrem Chef eine Schachtel,pralinen,56,3.0,5,67,12,356,0.835820895522388,0.5919280370833983,el,435,435,el,s_el_435p.wav,s_el_435tw,0.19954353135695868,s_el_435p.wav,s_el_435tw_1.wav,Stimuli/s_el_435p.wav,Stimuli/s_el_435tw_1.wav,0.7841311411692824
Bei einem Strandspaziergang entdeckten sie am Ufer einen,wal,11,31.0,31,67,9,52,0.1641791044776119,3.090458647716546,eh,47,47,eh,s_eh_047p.wav,s_eh_047tw,0.24302030758567839,s_eh_047p.wav,s_eh_047tw_3.wav,Stimuli/s_eh_047p.wav,Stimuli/s_eh_047tw_3.wav,0.7841555782608908
Der Feuerlöscher befindet sich neben der,scheune,1,8.0,12,66,7,97,0.01515151515151515,1.18929533037326,em_lc,104,104,em,s_em_104p.wav,s_em_lc_104tw,0.9140912259866952,s_em_104p.wav,s_em_lc_104tw_12.wav,Stimuli/s_em_104p.wav,Stimuli/s_em_lc_104tw_12.wav,0.7906076187357941
Ich schreibe einen langen Brief an meine,cousine,1,2.0,10,66,8,211,0.01515151515151515,1.673681629766757,em_lc,251,251,em,s_em_251p.wav,s_em_lc_251tw,0.3051902722753459,s_em_251p.wav,s_em_lc_251tw_1.wav,Stimuli/s_em_251p.wav,Stimuli/s_em_lc_251tw_1.wav,0.7954400579971357
Beim Skifahren brach sich Jörg das ,Bein ,40,,4,44,7,2,0.9090909090909091,0.3991561674255942,el,54,54,el,s_el_054p.wav,s_el_054tw,0.2542448182581831,s_el_054p.wav,s_el_054tw_3.wav,Stimuli/s_el_054p.wav,Stimuli/s_el_054tw_3.wav,0.8005432145029893
Über das Feld rennt ein,soldat,1,14.0,16,68,6,337,0.01470588235294118,1.879718879418303,em_lc,408,408,em,s_em_408p.wav,s_em_lc_408tw,0.660013385691329,s_em_408p.wav,s_em_lc_408tw_6.wav,Stimuli/s_em_408p.wav,Stimuli/s_em_lc_408tw_6.wav,0.8194438249305922
Für ihren runden Geburtstag bestellt Johanna in der Konditorei eine,glocke,0,3.0,3,76,11,10,0.0,0.1399331179559552,el_mm,237,237,el,s_el_237p.wav,s_el_mm_237tw,0.5351537344631945,s_el_237p.wav,s_el_mm_237tw_6.wav,Stimuli/s_el_237p.wav,Stimuli/s_el_mm_237tw_6.wav,0.8226066379603144
Am liebsten liest sie Fantasy-Romane über,drachen,13,3.0,28,66,7,8,0.196969696969697,2.933257173160831,eh,9,9,eh,s_eh_009p.wav,s_eh_009tw,0.7266040754630844,s_eh_009p.wav,s_eh_009tw_6.wav,Stimuli/s_eh_009p.wav,Stimuli/s_eh_009tw_6.wav,0.8296460954104817
Im Zoo sprang die Robbe durch einen,reifen,42,3.0,7,76,8,13,0.5526315789473685,1.019284069050449,em_hc,295,295,em,s_em_295p.wav,s_em_hc_295tw,0.9387984873364039,s_em_295p.wav,s_em_hc_295tw_12.wav,Stimuli/s_em_295p.wav,Stimuli/s_em_hc_295tw_12.wav,0.8327944136598081
Nach einer Schreibblockade vollendete der Autor seinen,roman,44,7.0,9,67,8,317,0.6567164179104478,1.286343381457442,em_hc,377,377,em,s_em_377p.wav,s_em_hc_377tw,0.46985622526568915,s_em_377p.wav,s_em_hc_377tw_6.wav,Stimuli/s_em_377p.wav,Stimuli/s_em_hc_377tw_6.wav,0.8396171118136029
Die weiße Wolke am Himmel sieht aus wie ein,schaf,12,23.0,30,67,10,188,0.1791044776119403,3.014355621412924,eh,219,219,eh,s_eh_219p.wav,s_eh_219tw,0.010418133673446683,s_eh_219p.wav,s_eh_219tw_1.wav,Stimuli/s_eh_219p.wav,Stimuli/s_eh_219tw_1.wav,0.8397378583723064
Frau Martin stellten den bösen Schüler in die ,Grube,0,,2,47,9,21,0.0,0.1029666604654124,el_mm,231,231,el,s_el_231p.wav,s_el_mm_231tw,0.9371938662552454,s_el_231p.wav,s_el_mm_231tw_12.wav,Stimuli/s_el_231p.wav,Stimuli/s_el_mm_231tw_12.wav,0.8415417777528486
Am ersten Wintertag hatte sein Auto zugefrorene ,Polster,0,,5,44,8,1,0.0,0.4306628574510463,el_mm,7,7,el,s_el_007p.wav,s_el_mm_007tw,0.5029535773738042,s_el_007p.wav,s_el_mm_007tw_6.wav,Stimuli/s_el_007p.wav,Stimuli/s_el_mm_007tw_6.wav,0.8416185592301906
Der Klempner reinigte das verstopfte,rohr,63,4.0,5,75,6,6,0.84,0.6314857694675223,el,125,125,el,s_el_125p.wav,s_el_125tw,0.7158003800064934,s_el_125p.wav,s_el_125tw_12.wav,Stimuli/s_el_125p.wav,Stimuli/s_el_125tw_12.wav,0.8455599842776167
Das Wachs tropft von der brennenden,kerze,75,2.0,2,76,7,4,0.9868421052631579,0.07005428087549845,el,81,81,el,s_el_081p.wav,s_el_081tw,0.5294127963751175,s_el_081p.wav,s_el_081tw_6.wav,Stimuli/s_el_081p.wav,Stimuli/s_el_081tw_6.wav,0.8505817941268106
Am Abend verbrachte sie gern noch Zeit mit ihren,hasen,1,5.0,9,50,10,4,0.02,1.585504265655088,em_lc,4,4,em,s_em_004p.wav,s_em_lc_004tw,0.5052313417096371,s_em_004p.wav,s_em_lc_004tw_3.wav,Stimuli/s_em_004p.wav,Stimuli/s_em_lc_004tw_3.wav,0.8519658302319629
Nach einer langen Autofahrt erreichte die Familie endlich das,ziel,53,8.0,8,68,10,315,0.7794117647058824,0.933840516762783,em_hc,375,375,em,s_em_375p.wav,s_em_hc_375tw,0.2898294125955315,s_em_375p.wav,s_em_hc_375tw_3.wav,Stimuli/s_em_375p.wav,Stimuli/s_em_hc_375tw_3.wav,0.8663268529101792
Der Streit zwischen den Nachbarn entstand wegen einer,kleinigkeit,14,14.0,27,68,9,137,0.2058823529411765,2.741549785523619,eh,144,144,eh,s_eh_144p.wav,s_eh_144tw,0.18698409153627138,s_eh_144p.wav,s_eh_144tw_1.wav,Stimuli/s_eh_144p.wav,Stimuli/s_eh_144tw_1.wav,0.8706335600307039
