Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_1
Ich beneide meine Nachbarin für ihren schönen,hals,1,8.0,14,59,8,207,0.01694915254237288,1.361699768854784,em_lc,247,247,em,s_em_247p.wav,s_em_lc_247tw,0.6527513470691078,s_em_247p.wav,s_em_lc_247tw_6.wav,Stimuli/s_em_247p.wav,Stimuli/s_em_lc_247tw_6.wav,0.0008490348057242914
"Sie strengte sich an, aber erkannte keine",muster,8,26.0,41,67,8,331,0.1194029850746269,3.489619067733407,eh,400,400,eh,s_eh_400p.wav,s_eh_400tw,0.2004780713121127,s_eh_400p.wav,s_eh_400tw_1.wav,Stimuli/s_eh_400p.wav,Stimuli/s_eh_400tw_1.wav,0.01151022176714489
Ihr Großvater vererbte ihr seine wertvolle,uhr,36,11.0,12,68,7,216,0.5294117647058824,1.584654678190337,em_hc,259,259,em,s_em_259p.wav,s_em_hc_259tw,0.3292269223750456,s_em_259p.wav,s_em_hc_259tw_3.wav,Stimuli/s_em_259p.wav,Stimuli/s_em_hc_259tw_3.wav,0.012113631975595118
Die alte Dame sitzt auf der Parkbank und füttert die,tauben,28,7.0,8,68,11,149,0.4117647058823529,1.399570528835303,em_hc,164,164,em,s_em_164p.wav,s_em_hc_164tw,0.270080764652156,s_em_164p.wav,s_em_hc_164tw_3.wav,Stimuli/s_em_164p.wav,Stimuli/s_em_hc_164tw_3.wav,0.019536027918531707
Der Fluss durch die Stadt führt direkt zum,meer,31,6.0,16,66,9,99,0.4696969696969697,1.82405282167873,em_hc,107,107,em,s_em_107p.wav,s_em_hc_107tw,0.7969668342373754,s_em_107p.wav,s_em_hc_107tw_12.wav,Stimuli/s_em_107p.wav,Stimuli/s_em_hc_107tw_12.wav,0.0238477893935658
Sie wischte sich den Schweiß von der,stirn,65,4.0,4,68,8,333,0.9558823529411765,0.2292845795405712,el,402,402,el,s_el_402p.wav,s_el_402tw,0.14739509737517376,s_el_402p.wav,s_el_402tw_1.wav,Stimuli/s_el_402p.wav,Stimuli/s_el_402tw_1.wav,0.029919179622546088
Zur Belohnung gebe ich meinem Hund ein,leckerli,60,2.0,2,61,8,360,0.9836065573770492,0.08364970461058928,el,441,441,el,s_el_441p.wav,s_el_441tw,0.8443069820546513,s_el_441p.wav,s_el_441tw_12.wav,Stimuli/s_el_441p.wav,Stimuli/s_el_441tw_12.wav,0.03257916962268692
Auf der Ladefläche des Transporters befand sich eine,kiste,14,10.0,35,68,9,32,0.2058823529411765,3.189191245204432,eh,27,27,eh,s_eh_027p.wav,s_eh_027tw,0.6681154522385434,s_eh_027p.wav,s_eh_027tw_6.wav,Stimuli/s_eh_027p.wav,Stimuli/s_eh_027tw_6.wav,0.03661022203619391
Immer mehr Jugendliche nehmen leichtsinnigerweise ,Drogen ,43,,2,44,6,25,0.9772727272727273,0.108471339035916,el,297,297,el,s_el_297p.wav,s_el_297tw,0.47111329957453196,s_el_297p.wav,s_el_297tw_6.wav,Stimuli/s_el_297p.wav,Stimuli/s_el_297tw_6.wav,0.03856360097074141
Der Park in der Nähe hat einen großen,see,28,7.0,9,67,9,126,0.417910447761194,1.562915661507047,em_hc,130,130,em,s_em_130p.wav,s_em_hc_130tw,0.1615924175530501,s_em_130p.wav,s_em_hc_130tw_1.wav,Stimuli/s_em_130p.wav,Stimuli/s_em_hc_130tw_1.wav,0.04502551102620145
