Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_4
Aus der Mine hoben die Bergarbeiter wertvolles,kupfer,1,9.0,13,65,8,46,0.01538461538461539,1.635823904280963,em_lc,43,43,em,s_em_043p.wav,s_em_lc_043tw,0.7492756334440502,s_em_043p.wav,s_em_lc_043tw_6.wav,Stimuli/s_em_043p.wav,Stimuli/s_em_lc_043tw_6.wav,0.45367110551855505
In London entwarf die Stararchitektin ein neues,gebäude,25,6.0,13,65,8,276,0.3846153846153846,1.805822329723849,em_hc,328,328,em,s_em_328p.wav,s_em_hc_328tw,0.6064601399476497,s_em_328p.wav,s_em_hc_328tw_3.wav,Stimuli/s_em_328p.wav,Stimuli/s_em_hc_328tw_3.wav,0.4644231662037457
Die Belegschaft streikt für ein höheres,gehalt,67,3.0,3,76,7,8,0.881578947368421,0.4050762635411546,el,168,168,el,s_el_168p.wav,s_el_168tw,0.9852240819547546,s_el_168p.wav,s_el_168tw_6.wav,Stimuli/s_el_168p.wav,Stimuli/s_el_168tw_6.wav,0.4647093548876742
Die Katze jagt eine Maus im,schuppen,1,11.0,14,68,7,168,0.01470588235294118,2.060795255120921,em_lc,193,193,em,s_em_193p.wav,s_em_lc_193tw,0.7004281632472326,s_em_193p.wav,s_em_lc_193tw_3.wav,Stimuli/s_em_193p.wav,Stimuli/s_em_lc_193tw_3.wav,0.47074658524534974
Trotz der aussichtslosen Situation verliert Laura nicht die,hoffnung,37,4.0,11,76,9,20,0.4868421052631579,1.641781404763434,em_hc,404,404,em,s_em_404p.wav,s_em_hc_404tw,0.3314472848586181,s_em_404p.wav,s_em_hc_404tw_1.wav,Stimuli/s_em_404p.wav,Stimuli/s_em_hc_404tw_1.wav,0.47193288385817356
Im Weltall hört man keine,motoren,1,5.0,17,66,6,242,0.01515151515151515,1.949497901053625,em_lc,291,291,em,s_em_291p.wav,s_em_lc_291tw,0.5828554721303771,s_em_291p.wav,s_em_lc_291tw_3.wav,Stimuli/s_em_291p.wav,Stimuli/s_em_lc_291tw_3.wav,0.47239944456421645
In seinem alten Kinderzimmer suchte er nach seinem,teddy,9,35.0,39,67,9,277,0.1343283582089552,3.363602743266912,eh,330,330,eh,s_eh_330p.wav,s_eh_330tw,0.3609419603991014,s_eh_330p.wav,s_eh_330tw_1.wav,Stimuli/s_eh_330p.wav,Stimuli/s_eh_330tw_1.wav,0.4867383265441455
Der Fernseher im Wohnzimmer hat einen großen,sprung,1,12.0,12,67,8,96,0.01492537313432836,1.07101215383528,em_lc,102,102,em,s_em_102p.wav,s_em_lc_102tw,0.4361848386095347,s_em_102p.wav,s_em_lc_102tw_1.wav,Stimuli/s_em_102p.wav,Stimuli/s_em_lc_102tw_1.wav,0.503605163751962
In der Gemeinde legen die Mitglieder großen Wert auf,sauberkeit,19,15.0,25,67,10,256,0.2835820895522388,2.659700522500995,eh,310,310,eh,s_eh_310p.wav,s_eh_310tw,0.8899986671086527,s_eh_310p.wav,s_eh_310tw_6.wav,Stimuli/s_eh_310p.wav,Stimuli/s_eh_310tw_6.wav,0.5134481356998825
Der Spion lauscht bei einem Gespräch über die,politik,8,35.0,55,68,9,135,0.1176470588235294,3.844852607471362,eh,143,143,eh,s_eh_143p.wav,s_eh_143tw,0.5333276807061235,s_eh_143p.wav,s_eh_143tw_3.wav,Stimuli/s_eh_143p.wav,Stimuli/s_eh_143tw_3.wav,0.5184371002007196
Auf ihre Spaghetti reibt sie sich,trüffel,1,4.0,4,68,7,38,0.01470588235294118,0.8097062407470905,em_lc,33,33,em,s_em_033p.wav,s_em_lc_033tw,0.46463423954315963,s_em_033p.wav,s_em_lc_033tw_1.wav,Stimuli/s_em_033p.wav,Stimuli/s_em_lc_033tw_1.wav,0.5258329624262807
Den Teebeutel übergoß sie mit heißem,sirup,0,2.0,2,76,7,5,0.0,0.07005428087549845,el_mm,84,84,el,s_el_084p.wav,s_el_mm_084tw,0.6060179509527113,s_el_084p.wav,s_el_mm_084tw_3.wav,Stimuli/s_el_084p.wav,Stimuli/s_el_mm_084tw_3.wav,0.5264454678527769
Der Zug lag noch gut in der ,Zeit,50,,3,53,8,12,0.9433962264150944,0.2535476752025521,el,162,162,el,s_el_162p.wav,s_el_162tw,0.49599861164349734,s_el_162p.wav,s_el_162tw_3.wav,Stimuli/s_el_162p.wav,Stimuli/s_el_162tw_3.wav,0.5270481753455176
Viola stand vor der geschlossenen Tür und drückte die,klingel,38,2.0,4,76,10,23,0.5,0.9321128820610584,em_hc,418,418,em,s_em_418p.wav,s_em_hc_418tw,0.9849914458260147,s_em_418p.wav,s_em_hc_418tw_6.wav,Stimuli/s_em_418p.wav,Stimuli/s_em_hc_418tw_6.wav,0.5306273192109923
