Sentence Number,condition,Comments,Sentence,Besonderheit,Answer,WordPrediction,wn,nwords,nprt,nw,sn,cloze,entropy,prior_recording,tw_recording
_610,el,,The waitress wiped the table with a damp,,cloth,80,1,4,105,9,1601,0.7619047619047619,0.6284508478691331,e_el_610p.wav,e_el_610tw_12.wav
_587,el,rerecorded,The thief ran away after taking the woman's,,purse,95,1,7,104,9,1550,0.9134615384615384,0.4395790152069918,e_el_587p.wav,e_el_587tw_12.wav
_186,el,,He was down twenty dollars after losing the,,bet,95,1,6,103,9,468,0.9223300970873787,0.3890936879463775,e_el_186p.wav,e_el_186tw_12.wav
_674,el,,"With clothes scattered everywhere, her room was a",,mess,96,1,4,105,9,1841,0.9142857142857143,0.3652529448489473,e_el_674p.wav,e_el_674tw_12.wav
_198,el,rerecorded,"In many sentences, the noun is followed by a",,verb,94,1,6,104,10,528,0.9038461538461539,0.4612401527326331,e_el_198p.wav,e_el_198tw_1.wav
_529,el,,"The mother was against swearing, calling it a",,sin,89,1,11,102,9,1370,0.8725490196078431,0.6676441859360345,e_el_529p.wav,e_el_529tw_1.wav
_544,el,,The polar opposite brothers often got into a,,fight,93,1,6,103,9,1429,0.9029126213592233,0.4506004757389251,e_el_544p.wav,e_el_544tw_1.wav
_026,el,,"After filling the bowl with cereal, Josh added",Name,milk,91,1,4,103,9,46,0.883495145631068,0.4558980727687,e_el_026p.wav,e_el_026tw_1.wav
_462,el,,The fraternal twins were as different as day and,,night,104,1,1,104,10,1228,1.0,0.0,e_el_462p.wav,e_el_462tw_3.wav
_488,el,,The impatient man kept glancing at his,,watch,97,1,4,101,8,1285,0.9603960396039604,0.2078605240100909,e_el_488p.wav,e_el_488tw_3.wav
_066,el,,"At halftime, the team received a speech from the",,coach,88,1,7,103,10,151,0.8543689320388349,0.6317276101267856,e_el_066p.wav,e_el_066tw_3.wav
_257,el,,Martha covered the boiling pot with a,Name,lid,92,1,6,104,8,710,0.8846153846153846,0.5000426828623458,e_el_257p.wav,e_el_257tw_3.wav
_335,el,,Sharing combs with infected people gave Lorie,Name,lice,93,1,8,100,8,907,0.93,0.3898526573555632,e_el_335p.wav,e_el_335tw_6.wav
_278,el,,Napa Valley in California is known for making,,wine,99,1,6,104,9,765,0.9519230769230769,0.2701902725709456,e_el_278p.wav,e_el_278tw_6.wav
_166,el,,"Every weekend, Michelle and her family attended",Name,church,89,1,7,105,8,372,0.8476190476190476,0.5980985891390231,e_el_166p.wav,e_el_166tw_6.wav
