Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_3
Ich verbringe meine Ferien gerne am;weiher;1;6;6;67;7;215;0,014925373;1,176330127;em_lc;257;257;em;s_em_257p.wav;s_em_lc_257tw;0,866047604;s_em_257p.wav;s_em_lc_257tw_3.wav;Stimuli/s_em_257p.wav;Stimuli/s_em_lc_257tw_3.wav;0,003213895
Zum Angeln spie�te sie den Wurm auf den;haken;64;3;6;76;9;25;0,842105263;0,643695037;el;437;437;el;s_el_437p.wav;s_el_437tw;0,682030314;s_el_437p.wav;s_el_437tw_1.wav;Stimuli/s_el_437p.wav;Stimuli/s_el_437tw_1.wav;0,006440542
In der Jugendherberge �bernachten viele;frauen;1;2;12;67;6;257;0,014925373;1,764350618;em_lc;311;311;em;s_em_311p.wav;s_em_lc_311tw;0,20680023;s_em_311p.wav;s_em_lc_311tw_6.wav;Stimuli/s_em_311p.wav;Stimuli/s_em_lc_311tw_6.wav;0,007155307
Nach einer anstrengenden Radtour hatte er gro�en Hunger und;angst;0;2;3;66;10;313;0;0,156798419;el_mm;372;372;el;s_el_372p.wav;s_el_mm_372tw;0,601450357;s_el_372p.wav;s_el_mm_372tw_1.wav;Stimuli/s_el_372p.wav;Stimuli/s_el_mm_372tw_1.wav;0,012670067
Auf ihre Spaghetti reibt sie sich;tr�ffel;1;4;4;68;7;38;0,014705882;0,809706241;em_lc;33;033;em;s_em_033p.wav;s_em_lc_033tw;0,46463424;s_em_033p.wav;s_em_lc_033tw_12.wav;Stimuli/s_em_033p.wav;Stimuli/s_em_lc_033tw_12.wav;0,024564648
Im Sandkasten spielen die Kinder mit Schaufel und;gabel;1;5;10;68;9;236;0,014705882;1,334344617;em_lc;283;283;em;s_em_283p.wav;s_em_lc_283tw;0,260781385;s_em_283p.wav;s_em_lc_283tw_6.wav;Stimuli/s_em_283p.wav;Stimuli/s_em_lc_283tw_6.wav;0,029489885
Der Winter ist die beste Zeit zum;skifahren;29;12;14;66;8;145;0,439393939;1,878044805;em_hc;154;154;em;s_em_154p.wav;s_em_hc_154tw;0,825364565;s_em_154p.wav;s_em_hc_154tw_3.wav;Stimuli/s_em_154p.wav;Stimuli/s_em_hc_154tw_3.wav;0,033312807
Auf dem Waschbecken liegt ein St�ck;seife;63;4;5;67;7;25;0,940298507;0,30890922;el;20;020;el;s_el_020p.wav;s_el_020tw;0,650394411;s_el_020p.wav;s_el_020tw_1.wav;Stimuli/s_el_020p.wav;Stimuli/s_el_020tw_1.wav;0,039105313
Morgens liest mein Vater;Zeitung;37;;4;40;5;27;0,925;0,348780385;el;361;361;el;s_el_361p.wav;s_el_361tw;0,451921037;s_el_361p.wav;s_el_361tw_1.wav;Stimuli/s_el_361p.wav;Stimuli/s_el_361tw_1.wav;0,041713079
Immer mehr Jugendliche nehmen leichtsinnigerweise ;Drogen ;43;;2;44;6;25;0,977272727;0,108471339;el;297;297;el;s_el_297p.wav;s_el_297tw;0,4711133;s_el_297p.wav;s_el_297tw_1.wav;Stimuli/s_el_297p.wav;Stimuli/s_el_297tw_1.wav;0,042065763
Der warme Sandstrand kitzelt unter den;f��en;57;1;6;68;7;141;0,838235294;0,687772664;el;150;150;el;s_el_150p.wav;s_el_150tw;0,28929384;s_el_150p.wav;s_el_150tw_12.wav;Stimuli/s_el_150p.wav;Stimuli/s_el_150tw_12.wav;0,045185781
�ber Nacht liegt das Kreuzfahrtschiff sicher im;hafen;76;1;1;76;8;21;1;0;el;412;412;el;s_el_412p.wav;s_el_412tw;0,727915007;s_el_412p.wav;s_el_412tw_3.wav;Stimuli/s_el_412p.wav;Stimuli/s_el_412tw_3.wav;0,047385271
Die Forscherin entdeckt eine neue Pflanzenart im;dschungel;16;7;21;66;8;157;0,242424242;2,51322942;eh;183;183;eh;s_eh_183p.wav;s_eh_183tw;0,048508615;s_eh_183p.wav;s_eh_183tw_6.wav;Stimuli/s_eh_183p.wav;Stimuli/s_eh_183tw_6.wav;0,05121216
Beim Kuchenbacken verga� meine Mutter tats�chlich das;mehl;41;4;5;67;8;58;0,611940299;1,136943231;em_hc;52;052;em;s_em_052p.wav;s_em_hc_052tw;0,217914875;s_em_052p.wav;s_em_hc_052tw_12.wav;Stimuli/s_em_052p.wav;Stimuli/s_em_hc_052tw_12.wav;0,056567807
