Sentence Number,condition,Comments,Sentence,Besonderheit,Answer,WordPrediction,wn,nwords,nprt,nw,sn,cloze,entropy,recording_prior,recording_tw
_337,el,,"She didn't give him a long kiss, just a",,peck,91,1,5,103,10,916,0.883495145631068,0.4574160145494481,e_el_337p.wav,e_el_337tw_1.wav
_055,el,,All of the wild dogs stayed together in a,,pack,98,1,4,104,10,104,0.9423076923076923,0.270621761120261,e_el_055p.wav,e_el_055tw_1.wav
_339,el,,She received the acceptance letter in the,,mail,101,1,4,104,8,922,0.9711538461538461,0.1623988587474572,e_el_339p.wav,e_el_339tw_1.wav
_398,el,,The child's blood pressure was taken by the,,nurse,70,1,2,103,9,1081,0.6796116504854369,0.6271618380175097,e_el_398p.wav,e_el_398tw_3.wav
_572,el,,The stable was home to Rick's favorite,Name,horse,93,1,9,105,8,1516,0.8857142857142857,0.5865610138934056,e_el_572p.wav,e_el_572tw_3.wav
_022,el,,"After driving over sharp glass, Ronald had a flat",Name,tire,104,1,1,104,10,41,1.0,0.0,e_el_022p.wav,e_el_022tw_3.wav
_532,el,,The new family enclosed their yard with a,,fence,102,1,2,104,9,1390,0.9807692307692307,0.09503011725564635,e_el_532p.wav,e_el_532tw_6.wav
_466,el,,The gentleman on the bus offered the child his,,seat,94,1,11,104,10,1241,0.9038461538461539,0.5379513843973306,e_el_466p.wav,e_el_466tw_6.wav
_509,el,,The little girl was excited to lose her first,,tooth,103,1,2,104,10,1327,0.9903846153846154,0.0542266127216372,e_el_509p.wav,e_el_509tw_6.wav
_427,el,,The eager shoppers left no clothes on the,,racks,95,1,4,105,9,1151,0.9047619047619048,0.3908558729522047,e_el_427p.wav,e_el_427tw_12.wav
_417,el,,The daughter felt guilty after telling her parents a,,lie,97,1,5,104,10,1131,0.9326923076923077,0.3325726670072154,e_el_417p.wav,e_el_417tw_12.wav
_384,el,,The camper's food attracted a large mother,,bear,100,1,5,104,8,1048,0.9615384615384616,0.2163426433835924,e_el_384p.wav,e_el_384tw_12.wav
_408,em_hc,,The comedy show filled the women with,,laughter,46,1,16,105,8,1100,0.4380952380952381,1.814697844063698,e_em_408p.wav,e_em_hc_408tw_1.wav
_556,em_hc,,The rotten fruit had turned into a soft,,mush,73,1,17,103,9,1471,0.7087378640776699,1.354951904439346,e_em_556p.wav,e_em_hc_556tw_1.wav
_421,em_hc,,The determined student was not discouraged by his bad,,grades,80,1,14,104,10,1136,0.7692307692307693,1.095283152869895,e_em_421p.wav,e_em_hc_421tw_1.wav
_032,em_hc,,After missing lunch Harry badly needed some,Name,food,88,1,12,105,8,56,0.8380952380952381,0.8091060625201764,e_em_032p.wav,e_em_hc_032tw_3.wav
_436,em_hc,,The end of the day was signaled by the,,bell,37,1,16,105,10,1161,0.3523809523809524,1.917519503979171,e_em_436p.wav,e_em_hc_436tw_3.wav
_665,em_hc,,Unfortunately the cake had stuck to the,,pan,71,1,13,104,8,1758,0.6826923076923077,1.22273027283124,e_em_665p.wav,e_em_hc_665tw_3.wav
