Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_2
Die alte Dame sitzt auf der Parkbank und füttert die,tauben,28,7.0,8,68,11,149,0.4117647058823529,1.399570528835303,em_hc,164,164,em,s_em_164p.wav,s_em_hc_164tw,0.270080764652156,s_em_164p.wav,s_em_hc_164tw_6.wav,Stimuli/s_em_164p.wav,Stimuli/s_em_hc_164tw_6.wav,0.2349104454852079
Mit voller Wucht traf die Abrissbirne das,regal,1,7.0,7,67,8,303,0.01492537313432836,1.028217954901457,em_lc,359,359,em,s_em_359p.wav,s_em_lc_359tw,0.8045725891661458,s_em_359p.wav,s_em_lc_359tw_1.wav,Stimuli/s_em_359p.wav,Stimuli/s_em_lc_359tw_1.wav,0.259490848734909
Am liebsten liest sie Fantasy-Romane über,drachen,13,3.0,28,66,7,8,0.196969696969697,2.933257173160831,eh,9,9,eh,s_eh_009p.wav,s_eh_009tw,0.7266040754630844,s_eh_009p.wav,s_eh_009tw_12.wav,Stimuli/s_eh_009p.wav,Stimuli/s_eh_009tw_12.wav,0.26223046041186127
Die Köchin würzte das Essen mit,ingwer,1,5.0,14,68,7,172,0.01470588235294118,1.465469918390653,em_lc,200,200,em,s_em_200p.wav,s_em_lc_200tw,0.05049069068459866,s_em_200p.wav,s_em_lc_200tw_3.wav,Stimuli/s_em_200p.wav,Stimuli/s_em_lc_200tw_3.wav,0.2679237261705134
Der Zauberer verriet dem Publikum seinen ,weg,0,,4,47,7,11,0.0,0.2054707498023056,el_mm,160,160,el,s_el_160p.wav,s_el_mm_160tw,0.44371215384600393,s_el_160p.wav,s_el_mm_160tw_6.wav,Stimuli/s_el_160p.wav,Stimuli/s_el_mm_160tw_6.wav,0.27149126971742854
Die Polizistin verhaftete den Verdächtigen auf der,parkbank,1,5.0,10,67,8,179,0.01492537313432836,1.20362162610754,em_lc,207,207,em,s_em_207p.wav,s_em_lc_207tw,0.5857450488035112,s_em_207p.wav,s_em_lc_207tw_12.wav,Stimuli/s_em_207p.wav,Stimuli/s_em_lc_207tw_12.wav,0.2994801394833062
In den Bergen übernachten die Gäste in einer gemütlichen,hütte,50,3.0,9,66,10,250,0.7575757575757576,1.015956349865725,em_hc,304,304,em,s_em_304p.wav,s_em_hc_304tw,0.7415174822899899,s_em_304p.wav,s_em_hc_304tw_12.wav,Stimuli/s_em_304p.wav,Stimuli/s_em_hc_304tw_12.wav,0.29967802076014227
Die Unfallursache war wie häufig eine zu hohe ,Leitfähigkeit,0,,2,52,9,16,0.0,0.09503011725564635,el_mm,215,215,el,s_el_215p.wav,s_el_mm_215tw,0.9003816854816602,s_el_215p.wav,s_el_mm_215tw_1.wav,Stimuli/s_el_215p.wav,Stimuli/s_el_mm_215tw_1.wav,0.3003689212396933
Nach einer Schreibblockade vollendete der Autor seinen,roman,44,7.0,9,67,8,317,0.6567164179104478,1.286343381457442,em_hc,377,377,em,s_em_377p.wav,s_em_hc_377tw,0.46985622526568915,s_em_377p.wav,s_em_hc_377tw_12.wav,Stimuli/s_em_377p.wav,Stimuli/s_em_hc_377tw_12.wav,0.30952229393698283
Er sah Licht am Ende des,Tunnels,42,,5,47,7,18,0.8936170212765957,0.4806067861989658,el,224,224,el,s_el_224p.wav,s_el_224tw,0.1701242109524127,s_el_224p.wav,s_el_224tw_3.wav,Stimuli/s_el_224p.wav,Stimuli/s_el_224tw_3.wav,0.32123104192187646
