Sentence Number,condition,Comments,Sentence,Besonderheit,Answer,WordPrediction,wn,nwords,nprt,nw,sn,cloze,entropy,recording_prior,recording_tw
_014,el,,"According to the Bible, murder is a",,sin,101,1,4,104,8,25,0.9711538461538461,0.1623988587474572,e_el_014p.wav,e_el_014tw_3.wav
_049,el,,Alex waited for the jury to decide his,Name,fate,92,1,6,104,9,94,0.8846153846153846,0.4843901162380034,e_el_049p.wav,e_el_049tw_3.wav
_652,el,,"To stay warm in cold weather, wear a winter",,coat,85,1,4,104,10,1735,0.8173076923076923,0.6048011216339682,e_el_652p.wav,e_el_652tw_3.wav
_520,el,,The man introduced himself by stating his,,name,99,1,4,104,8,1341,0.9519230769230769,0.2384995334747502,e_el_520p.wav,e_el_520tw_6.wav
_583,el,,The swim team's performance improved after hiring a new,,coach,98,1,4,104,10,1537,0.9423076923076923,0.2789202824409855,e_el_583p.wav,e_el_583tw_6.wav
_640,el,,"To capture butterflies, he set out with a",,net,94,1,6,103,9,1698,0.912621359223301,0.4102930746805982,e_el_640p.wav,e_el_640tw_6.wav
_423,el,,The disruptive students were given a warning by the,,teacher,93,1,7,104,10,1139,0.8942307692307693,0.4878302291546308,e_el_423p.wav,e_el_423tw_12.wav
_579,el,,The strong winds prevented Jillian from flying her,Name,kite,96,1,4,105,9,1529,0.9142857142857143,0.3652529448489473,e_el_579p.wav,e_el_579tw_12.wav
_501,el,,The lion wasn't full-grown but only a,,cub,90,1,6,104,8,1319,0.8653846153846154,0.5468506502291637,e_el_501p.wav,e_el_501tw_12.wav
_450,el,tw replaced with 301tw because of click at end,The feud between the countries could turn into a,,war,101,1,4,104,10,1204,0.9711538461538461,0.1623988587474572,e_el_450p.wav,e_el_450tw_1.wav
_216,el,,"In the past, the military only enlisted",,men,91,1,11,104,8,554,0.875,0.6440698170499022,e_el_216p.wav,e_el_216tw_1.wav
_141,el,,During the hike Lila's feet hurt more with each,Name,step,103,1,2,104,10,315,0.9903846153846154,0.0542266127216372,e_el_141p.wav,e_el_141tw_1.wav
_322,em_hc,,"Running low on cookies, the bakery needed a new",,batch,56,1,16,101,10,879,0.5544554455445545,1.630242888827233,e_em_322p.wav,e_em_hc_322tw_3.wav
_143,em_hc,,"During the meeting, the intern constantly checked his",,watch,60,1,10,105,9,316,0.5714285714285714,1.072497017977849,e_em_143p.wav,e_em_hc_143tw_3.wav
_092,em_hc,,Before placing each brick he applied a glob of,,cement,48,1,8,103,10,200,0.4660194174757282,1.212016607880092,e_em_092p.wav,e_em_hc_092tw_3.wav
_305,em_hc,,Our walk was illuminated by the light of the,,moon,87,1,13,104,10,830,0.8365384615384616,0.8368069926768265,e_em_305p.wav,e_em_hc_305tw_6.wav
_468,em_hc,,The girl got in trouble trying to pass a,,note,55,1,19,103,10,1242,0.5339805825242718,1.748358223222841,e_em_468p.wav,e_em_hc_468tw_6.wav
_318,em_hc,,Rick always felt truly better after doing a good,Name,deed,39,1,11,104,10,866,0.375,1.519789445805019,e_em_318p.wav,e_em_hc_318tw_6.wav
_303,em_hc,,"Opal's new, short haircut barely covered her",Name,ears,48,1,13,105,8,827,0.4571428571428571,1.768358182975881,e_em_303p.wav,e_em_hc_303tw_12.wav
_473,em_hc,,The guard told them to wait patiently by the,,door,59,1,15,104,10,1256,0.5673076923076923,1.398811354279037,e_em_473p.wav,e_em_hc_473tw_12.wav
_230,em_hc,,Josie drank a large glass of milk every,Name,day,54,1,5,101,9,630,0.5346534653465347,0.9528255813498958,e_em_230p.wav,e_em_hc_230tw_12.wav
_170,em_hc,,"For Father's Day, the children got their father a",,tie,46,1,14,101,10,383,0.4554455445544555,1.686304877323858,e_em_170p.wav,e_em_hc_170tw_1.wav
_272,em_hc,,Most blue food gets its coloring from chemical,,dyes,46,1,21,104,9,752,0.4423076923076923,2.053295826760944,e_em_272p.wav,e_em_hc_272tw_1.wav
_057,em_hc,,All the old cow ever did was chew its,,cud,67,1,13,104,10,107,0.6442307692307693,1.292242485936594,e_em_057p.wav,e_em_hc_057tw_1.wav
_381,eh,,The bridge was closed in order to repair the,,road,30,1,28,103,10,1039,0.2912621359223301,2.679911869010608,e_eh_381p.wav,e_eh_381tw_3.wav
_079,eh,,"At the store, the cook purchased a container of",,rice,8,1,43,103,10,175,0.07766990291262135,3.441181721565836,e_eh_079p.wav,e_eh_079tw_3.wav
_524,eh,,The man trembled at the thought of a,,spider,12,1,56,105,9,1344,0.1142857142857143,3.651778202457992,e_eh_524p.wav,e_eh_524tw_3.wav
_263,eh,,Melanie's favorite part of the house decor was the,Name,wallpaper,10,1,45,104,10,727,0.09615384615384616,3.474039734909909,e_eh_263p.wav,e_eh_263tw_6.wav
_196,eh,,"In exchange for loyalty, the peasant was given a",,coin,12,1,38,102,10,521,0.1176470588235294,3.205882992599975,e_eh_196p.wav,e_eh_196tw_6.wav
_185,eh,,He threw the ball over the fence with a,,grunt,9,1,40,104,10,462,0.08653846153846154,3.336781553336484,e_eh_185p.wav,e_eh_185tw_6.wav
_244,eh,,Kevin found his keys hidden underneath the,Name,couch,27,1,26,104,8,658,0.2596153846153846,2.575756442874677,e_eh_244p.wav,e_eh_244tw_12.wav
_596,eh,,The trainer was worried about his runner's,,health,13,1,34,104,8,1577,0.125,3.08531572343649,e_eh_596p.wav,e_eh_596tw_12.wav
_612,eh,,The woman told her daughter to respect the,,law,18,1,32,103,9,1619,0.1747572815533981,2.970820917623801,e_eh_612p.wav,e_eh_612tw_12.wav
_414,eh,,The cowboy enjoyed looking into the distance at the,,sunset,37,1,30,105,10,1119,0.3523809523809524,2.515892230136451,e_eh_414p.wav,e_eh_414tw_1.wav
_660,eh,,Tom was thrilled to be appointed the new,Name,manager,14,1,27,104,9,1746,0.1346153846153846,2.830075058395073,e_eh_660p.wav,e_eh_660tw_1.wav
_091,eh,,"Before leaving the house, the woman grabbed one more",,thing,14,1,33,105,10,199,0.1333333333333333,3.114041572196134,e_eh_091p.wav,e_eh_091tw_1.wav
_137,el_mm,,"During happy hour, the employees visited the",,park,0,1,7,102,8,304,0.0,0.4785412358910244,e_el_137p.wav,e_el_mm_137tw_3.wav
_368,el_mm,,The belt was too small for the customer's,,child,0,1,4,105,9,1007,0.0,0.3511146604022903,e_el_368p.wav,e_el_mm_368tw_3.wav
_581,el_mm,,The student spent every recess with his best,,rope,0,1,3,105,9,1532,0.0,0.2722711146805293,e_el_581p.wav,e_el_mm_581tw_3.wav
_452,el_mm,,The fields of corn flourished due to the fertile,,poop,0,1,7,104,10,1205,0.0,0.6756740496741798,e_el_452p.wav,e_el_mm_452tw_6.wav
_615,el_mm,,The writer was known for his satire and sharp,,sword,0,1,5,104,10,1632,0.0,0.5924008563189191,e_el_615p.wav,e_el_mm_615tw_6.wav
_642,el_mm,,"To celebrate his promotion, Eric's friends threw him a",Name,dinner,0,1,2,102,10,1699,0.0,0.05509857601988668,e_el_642p.wav,e_el_mm_642tw_6.wav
_077,el_mm,,"At the show, all the animals jumped through a",,maze,0,1,5,104,10,174,0.0,0.2568605190986391,e_el_077p.wav,e_el_mm_077tw_12.wav
_223,el_mm,,Jared covered the scratch on his leg with a,Name,paper,0,1,6,54,10,595,0.0,0.5222443635142993,e_el_223p.wav,e_el_mm_223tw_12.wav
_212,el_mm,,In the evening grandpa smokes using his,,weed,0,1,4,104,8,548,0.0,0.1623988587474572,e_el_212p.wav,e_el_mm_212tw_12.wav
_003,el_mm,,A gas lamp is always a good source of,,warmth,0,1,4,104,10,8,0.0,0.4179141726239555,e_el_003p.wav,e_el_mm_003tw_1.wav
_117,el_mm,,Cory opened the door after pulling with all his,Name,will,0,1,5,105,10,272,0.0,0.3784557482881842,e_el_117p.wav,e_el_mm_117tw_1.wav
_364,el_mm,,The baseball player always used his lucky catcher's,,arm,0,1,4,103,9,1001,0.0,0.3301769346624541,e_el_364p.wav,e_el_mm_364tw_1.wav
_539,em_lc,,The penguins enjoyed sliding down the slope of a,,bank,1,13,14,100,10,1418,0.01,1.841575668691412,e_em_539p.wav,e_em_lc_539tw_3.wav
_402,em_lc,,The clumsy boy always spilled juice on his,,desk,1,11,12,104,9,1093,0.009615384615384616,1.472998522021851,e_em_402p.wav,e_em_lc_402tw_3.wav
_164,em_lc,,Every night the woman looked up at the,,clock,1,5,7,105,9,371,0.009523809523809525,1.23038295805516,e_em_164p.wav,e_em_lc_164tw_3.wav
_343,em_lc,,Some animals carry their offspring in their,,grief,1,6,6,104,8,934,0.009615384615384616,0.8692204689367017,e_em_343p.wav,e_em_lc_343tw_6.wav
_429,em_lc,,The earrings came in a beautiful red velvet,,shine,1,21,21,104,9,1152,0.009615384615384616,1.851677790753515,e_em_429p.wav,e_em_lc_429tw_6.wav
_439,em_lc,,The family's couch and TV were both in the,,van,1,10,11,86,10,1181,0.01162790697674419,1.330172062061643,e_em_439p.wav,e_em_lc_439tw_6.wav
_330,em_lc,,Samantha enjoyed the smell of her new,,herbs,1,21,23,104,8,891,0.009615384615384616,1.880487985533911,e_em_330p.wav,e_em_lc_330tw_12.wav
_490,em_lc,,The incubated egg soon hatched into a baby,,swan,1,15,17,104,9,1287,0.009615384615384616,1.582615475540972,e_em_490p.wav,e_em_lc_490tw_12.wav
_352,em_lc,,The assistant shouted in pain after stepping on a,,pin,1,16,16,105,10,988,0.009523809523809525,1.679056017698813,e_em_352p.wav,e_em_lc_352tw_12.wav
_069,em_lc,,At the beach Sammy's sandwich was snatched by a,Name,jogger,1,13,16,105,10,158,0.009523809523809525,1.641378859743062,e_em_069p.wav,e_em_lc_069tw_1.wav
_654,em_lc,,"To warm up, Richard enjoyed a bowl of",Name,oats,2,4,10,104,9,1738,0.01923076923076923,1.104005240971445,e_em_654p.wav,e_em_lc_654tw_1.wav
_354,em_lc,,The athlete spent a long time training for the high,,score,1,14,15,102,11,991,0.00980392156862745,0.9871783152106628,e_em_354p.wav,e_em_lc_354tw_1.wav
