Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_1
Über den Stuhl hängt sie ihre,jacke,51,5.0,11,68,7,338,0.75,1.092155375096271,em_hc,410,410,em,s_em_410p.wav,s_em_hc_410tw,0.48416235517798656,s_em_410p.wav,s_em_hc_410tw_6.wav,Stimuli/s_em_410p.wav,Stimuli/s_em_hc_410tw_6.wav,0.2862982257642084
Seit einer Stunde sitze ich im Wartezimmer beim,papst,0,1.0,7,67,9,325,0.0,0.606918409597356,el_mm,394,394,el,s_el_394p.wav,s_el_mm_394tw,0.6393380845471063,s_el_394p.wav,s_el_mm_394tw_6.wav,Stimuli/s_el_394p.wav,Stimuli/s_el_mm_394tw_6.wav,0.28695396791859284
Beim Kuchenbacken vergaß meine Mutter tatsächlich das,mehl,41,4.0,5,67,8,58,0.6119402985074627,1.136943230709728,em_hc,52,52,em,s_em_052p.wav,s_em_hc_052tw,0.217914874814782,s_em_052p.wav,s_em_hc_052tw_3.wav,Stimuli/s_em_052p.wav,Stimuli/s_em_hc_052tw_3.wav,0.29226145021312244
Der Rapper singt über sein Leben auf der Straße und seine,liebe,10,18.0,26,68,12,128,0.1470588235294118,2.898879076682315,eh,135,135,eh,s_eh_135p.wav,s_eh_135tw,0.31786179700195616,s_eh_135p.wav,s_eh_135tw_3.wav,Stimuli/s_eh_135p.wav,Stimuli/s_eh_135tw_3.wav,0.3127839442889967
Die Enten schwammen auf dem ,Teich ,24,,2,44,6,15,0.5454545454545454,0.6890092384766586,el,179,179,el,s_el_179p.wav,s_el_179tw,0.236623657030963,s_el_179p.wav,s_el_179tw_3.wav,Stimuli/s_el_179p.wav,Stimuli/s_el_179tw_3.wav,0.3138332603569204
In dem Lexikon suchte Andrea nach einem Eintrag über,elefanten,3,16.0,54,68,10,249,0.04411764705882353,3.903314857665273,eh,303,303,eh,s_eh_303p.wav,s_eh_303tw,0.15539341258408412,s_eh_303p.wav,s_eh_303tw_1.wav,Stimuli/s_eh_303p.wav,Stimuli/s_eh_303tw_1.wav,0.32174579209831655
Öffne die Tür nur einen ,Meter,0,,2,45,6,31,0.0,0.10656595882802,el_mm,387,387,el,s_el_387p.wav,s_el_mm_387tw,0.6155222458780445,s_el_387p.wav,s_el_mm_387tw_6.wav,Stimuli/s_el_387p.wav,Stimuli/s_el_mm_387tw_6.wav,0.3288126442089768
Die Menschen auf der Straße bestaunen den,künstler,8,15.0,39,66,8,177,0.1212121212121212,3.451719094914759,eh,206,206,eh,s_eh_206p.wav,s_eh_206tw,0.8557291061157861,s_eh_206p.wav,s_eh_206tw_12.wav,Stimuli/s_eh_206p.wav,Stimuli/s_eh_206tw_12.wav,0.33480230510757236
Im Supermarkt kaufen wir eine Flasche,öl,1,6.0,15,66,8,240,0.01515151515151515,1.840455000233118,em_lc,289,289,em,s_em_289p.wav,s_em_lc_289tw,0.3922076164480133,s_em_289p.wav,s_em_lc_289tw_1.wav,Stimuli/s_em_289p.wav,Stimuli/s_em_lc_289tw_1.wav,0.33894709706502646
Er sah Licht am Ende des,Tunnels,42,,5,47,7,18,0.8936170212765957,0.4806067861989658,el,224,224,el,s_el_224p.wav,s_el_224tw,0.1701242109524127,s_el_224p.wav,s_el_224tw_1.wav,Stimuli/s_el_224p.wav,Stimuli/s_el_224tw_1.wav,0.3403078002197557
Die Hauptfigur in dem Kinderbuch war ein,bär,7,1.0,34,64,8,160,0.109375,3.263800436692345,eh,184,184,eh,s_eh_184p.wav,s_eh_184tw,0.9014518315105075,s_eh_184p.wav,s_eh_184tw_12.wav,Stimuli/s_eh_184p.wav,Stimuli/s_eh_184tw_12.wav,0.34701237872258595
Rauchen gefährdert die ,Vorhänge,0,,3,53,4,33,0.0,0.1868370594211668,el_mm,389,389,el,s_el_389p.wav,s_el_mm_389tw,0.665636497426347,s_el_389p.wav,s_el_mm_389tw_12.wav,Stimuli/s_el_389p.wav,Stimuli/s_el_mm_389tw_12.wav,0.358677230857938
Die Blumen auf dem Balkon brauchen dringend,kekse,0,3.0,3,68,8,152,0.0,0.2088978977593964,el_mm,172,172,el,s_el_172p.wav,s_el_mm_172tw,0.7258994017648424,s_el_172p.wav,s_el_mm_172tw_12.wav,Stimuli/s_el_172p.wav,Stimuli/s_el_mm_172tw_12.wav,0.3647339915322044
Der Tod seines Hundes erfüllte ihn mit großer ,Trauer,41,,3,43,9,9,0.9534883720930233,0.220352331161548,el,145,145,el,s_el_145p.wav,s_el_145tw,0.13738981369599523,s_el_145p.wav,s_el_145tw_1.wav,Stimuli/s_el_145p.wav,Stimuli/s_el_145tw_1.wav,0.36863982150189323
Die Kinder spielen mit einem Ball im,dreieck,1,2.0,18,68,8,170,0.01470588235294118,2.003541273584357,em_lc,197,197,em,s_em_197p.wav,s_em_lc_197tw,0.8456676015678495,s_em_197p.wav,s_em_lc_197tw_12.wav,Stimuli/s_em_197p.wav,Stimuli/s_em_lc_197tw_12.wav,0.37575586082660994
Das Haus am Ende der Straße hat neue,fenster,35,4.0,14,60,9,71,0.5833333333333334,1.631634333499502,em_hc,72,72,em,s_em_072p.wav,s_em_hc_072tw,0.5457022553618591,s_em_072p.wav,s_em_hc_072tw_6.wav,Stimuli/s_em_072p.wav,Stimuli/s_em_hc_072tw_6.wav,0.3772216153110063
Auf dem Waschbecken liegt ein Stück,seife,63,4.0,5,67,7,25,0.9402985074626866,0.3089092199481815,el,20,20,el,s_el_020p.wav,s_el_020tw,0.6503944106636229,s_el_020p.wav,s_el_020tw_6.wav,Stimuli/s_el_020p.wav,Stimuli/s_el_020tw_6.wav,0.37930541949042684
Liebe geht durch den,magen,66,2.0,3,68,5,288,0.9705882352941176,0.1530781026210465,el,346,346,el,s_el_346p.wav,s_el_346tw,0.04238845748655151,s_el_346p.wav,s_el_346tw_1.wav,Stimuli/s_el_346p.wav,Stimuli/s_el_346tw_1.wav,0.38130640153323947
Über Nacht liegt das Kreuzfahrtschiff sicher im,hafen,76,1.0,1,76,8,21,1.0,0.0,el,412,412,el,s_el_412p.wav,s_el_412tw,0.7279150065807186,s_el_412p.wav,s_el_412tw_12.wav,Stimuli/s_el_412p.wav,Stimuli/s_el_412tw_12.wav,0.3820821213441792
Marie bückte sich und sah einen,käfer,21,15.0,35,68,7,291,0.3088235294117647,2.970789518717813,eh,349,349,eh,s_eh_349p.wav,s_eh_349tw,0.799798245778524,s_eh_349p.wav,s_eh_349tw_6.wav,Stimuli/s_eh_349p.wav,Stimuli/s_eh_349tw_6.wav,0.3841103846452186
Nach einer Veranstaltung putzt die Reinigungsfirma den,stuhl,1,11.0,13,67,8,318,0.01492537313432836,1.598486733010881,em_lc,379,379,em,s_em_379p.wav,s_em_lc_379tw,0.552279896197847,s_em_379p.wav,s_em_lc_379tw_6.wav,Stimuli/s_em_379p.wav,Stimuli/s_em_lc_379tw_6.wav,0.3923149725376275
Der Italiener von nebenan serviert die beste,wurst,1,6.0,6,65,8,111,0.01538461538461539,0.8751472512151466,em_lc,117,117,em,s_em_117p.wav,s_em_lc_117tw,0.7704636709116641,s_em_117p.wav,s_em_lc_117tw_12.wav,Stimuli/s_em_117p.wav,Stimuli/s_em_lc_117tw_12.wav,0.3956141043276338
Im Kofferraum versteckte der Ganove die,beute,21,1.0,11,66,7,231,0.3181818181818182,1.898842826726524,em_hc,279,279,em,s_em_279p.wav,s_em_hc_279tw,0.24940072191788598,s_em_279p.wav,s_em_hc_279tw_3.wav,Stimuli/s_em_279p.wav,Stimuli/s_em_hc_279tw_3.wav,0.4108630165302546
Ingrid liest bei Romanen immer zuerst die letzte,seite,73,1.0,2,75,9,15,0.9733333333333334,0.1229569993369445,el,334,334,el,s_el_334p.wav,s_el_334tw,0.4188518772270554,s_el_334p.wav,s_el_334tw_3.wav,Stimuli/s_el_334p.wav,Stimuli/s_el_334tw_3.wav,0.41177863113583235
Die alte Straßenbahn rattert auf den,schienen,45,4.0,5,68,7,150,0.6617647058823529,0.8572952492210091,em_hc,166,166,em,s_em_166p.wav,s_em_hc_166tw,0.20258200438454133,s_em_166p.wav,s_em_hc_166tw_1.wav,Stimuli/s_em_166p.wav,Stimuli/s_em_hc_166tw_1.wav,0.413122683837966
Der Wissenschaftler forscht an einem neuen Medikament gegen,krebs,40,8.0,11,67,9,146,0.5970149253731343,1.415487196191775,em_hc,158,158,em,s_em_158p.wav,s_em_hc_158tw,0.10043080696076168,s_em_158p.wav,s_em_hc_158tw_1.wav,Stimuli/s_em_158p.wav,Stimuli/s_em_hc_158tw_1.wav,0.4159756127768103
Die Unfallursache war wie häufig eine zu hohe ,Leitfähigkeit,0,,2,52,9,16,0.0,0.09503011725564635,el_mm,215,215,el,s_el_215p.wav,s_el_mm_215tw,0.9003816854816602,s_el_215p.wav,s_el_mm_215tw_12.wav,Stimuli/s_el_215p.wav,Stimuli/s_el_mm_215tw_12.wav,0.41845584672665426
Die Polizistin verhaftete den Verdächtigen auf der,parkbank,1,5.0,10,67,8,179,0.01492537313432836,1.20362162610754,em_lc,207,207,em,s_em_207p.wav,s_em_lc_207tw,0.5857450488035112,s_em_207p.wav,s_em_lc_207tw_6.wav,Stimuli/s_em_207p.wav,Stimuli/s_em_lc_207tw_6.wav,0.42702436605793137
Der Investmentbänker verliert sein ganzes Geld an der,börse,64,1.0,3,67,9,110,0.9552238805970149,0.2113372209411319,el,115,115,el,s_el_115p.wav,s_el_115tw,0.8900971210942344,s_el_115p.wav,s_el_115tw_12.wav,Stimuli/s_el_115p.wav,Stimuli/s_el_115tw_12.wav,0.43394119678786724
