Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_4
Am Montag hält Karim ein Referat über,tiere,4,52.0,58,67,8,9,0.05970149253731343,3.997783013253671,eh,10,10,eh,s_eh_010p.wav,s_eh_010tw,0.23171691912041437,s_eh_010p.wav,s_eh_010tw_1.wav,Stimuli/s_eh_010p.wav,Stimuli/s_eh_010tw_1.wav,0.012973720778827302
Das Parfüm der Rezeptionistin duftete angenehm nach,rosen,26,15.0,19,66,8,82,0.3939393939393939,2.042440330693121,em_hc,77,77,em,s_em_077p.wav,s_em_hc_077tw,0.17167186416866065,s_em_077p.wav,s_em_hc_077tw_12.wav,Stimuli/s_em_077p.wav,Stimuli/s_em_hc_077tw_12.wav,0.017326195315781945
Der Dünger nährt den ,delfin,0,,3,40,5,6,0.0,0.2331726023738699,el_mm,98,98,el,s_el_098p.wav,s_el_mm_098tw,0.4502932629193779,s_el_098p.wav,s_el_mm_098tw_1.wav,Stimuli/s_el_098p.wav,Stimuli/s_el_mm_098tw_1.wav,0.01754415766160422
Der Winter war sehr hart in diesem ,schal,0,,1,44,8,10,0.0,0.0,el_mm,156,156,el,s_el_156p.wav,s_el_mm_156tw,0.6442054260182096,s_el_156p.wav,s_el_mm_156tw_6.wav,Stimuli/s_el_156p.wav,Stimuli/s_el_mm_156tw_6.wav,0.017892566525483433
Ich beneide meine Nachbarin für ihren schönen,hals,1,8.0,14,59,8,207,0.01694915254237288,1.361699768854784,em_lc,247,247,em,s_em_247p.wav,s_em_lc_247tw,0.6527513470691078,s_em_247p.wav,s_em_lc_247tw_3.wav,Stimuli/s_em_247p.wav,Stimuli/s_em_lc_247tw_3.wav,0.020371008164256188
Nach einer langen Autofahrt erreichte die Familie endlich das,ziel,53,8.0,8,68,10,315,0.7794117647058824,0.933840516762783,em_hc,375,375,em,s_em_375p.wav,s_em_hc_375tw,0.2898294125955315,s_em_375p.wav,s_em_hc_375tw_1.wav,Stimuli/s_em_375p.wav,Stimuli/s_em_hc_375tw_1.wav,0.023673184880353526
Der Wetterbericht warnt vor heftigem,gewitter,15,1.0,7,58,6,143,0.2586206896551724,1.562372148830214,em_hc,152,152,em,s_em_152p.wav,s_em_hc_152tw,0.08606691073391437,s_em_152p.wav,s_em_hc_152tw_12.wav,Stimuli/s_em_152p.wav,Stimuli/s_em_hc_152tw_12.wav,0.027997279235107198
Frau Martin stellten den bösen Schüler in die ,Grube,0,,2,47,9,21,0.0,0.1029666604654124,el_mm,231,231,el,s_el_231p.wav,s_el_mm_231tw,0.9371938662552454,s_el_231p.wav,s_el_mm_231tw_6.wav,Stimuli/s_el_231p.wav,Stimuli/s_el_mm_231tw_6.wav,0.028731478849388536
Der Winter ist die beste Zeit zum,skifahren,29,12.0,14,66,8,145,0.4393939393939394,1.878044805414511,em_hc,154,154,em,s_em_154p.wav,s_em_hc_154tw,0.825364564747592,s_em_154p.wav,s_em_hc_154tw_6.wav,Stimuli/s_em_154p.wav,Stimuli/s_em_hc_154tw_6.wav,0.03609727084732395
In der Dunkelheit greift Theo nach der,zahnbürste,1,14.0,15,67,8,255,0.01492537313432836,1.810480301201734,em_lc,308,308,em,s_em_308p.wav,s_em_lc_308tw,0.45042704460107097,s_em_308p.wav,s_em_lc_308tw_1.wav,Stimuli/s_em_308p.wav,Stimuli/s_em_lc_308tw_1.wav,0.040133320882053236
Das Tropfen des Wasserhahns hinterließ einen dunkeln,klang,1,5.0,13,68,8,83,0.01470588235294118,1.411263519373775,em_lc,79,79,em,s_em_079p.wav,s_em_lc_079tw,0.16642483838523836,s_em_079p.wav,s_em_lc_079tw_12.wav,Stimuli/s_em_079p.wav,Stimuli/s_em_lc_079tw_12.wav,0.052027806106703656
Nach den vielen Stufen war sie außer,atem,53,1.0,4,66,8,309,0.803030303030303,0.6017408114348417,el,368,368,el,s_el_368p.wav,s_el_368tw,0.5069282215798083,s_el_368p.wav,s_el_368tw_3.wav,Stimuli/s_el_368p.wav,Stimuli/s_el_368tw_3.wav,0.07261808789602608
Rauchen gefährdert die ,Vorhänge,0,,3,53,4,33,0.0,0.1868370594211668,el_mm,389,389,el,s_el_389p.wav,s_el_mm_389tw,0.665636497426347,s_el_389p.wav,s_el_mm_389tw_6.wav,Stimuli/s_el_389p.wav,Stimuli/s_el_mm_389tw_6.wav,0.07418932347150742
Die Köchin würzte das Essen mit,ingwer,1,5.0,14,68,7,172,0.01470588235294118,1.465469918390653,em_lc,200,200,em,s_em_200p.wav,s_em_lc_200tw,0.05049069068459866,s_em_200p.wav,s_em_lc_200tw_12.wav,Stimuli/s_em_200p.wav,Stimuli/s_em_lc_200tw_12.wav,0.07746654408765075
