Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_Word,sentence,word,randomize_3
Am Montag hält Karim ein Referat über,tiere,4,52.0,58,67,8,9,0.05970149253731343,3.997783013253671,eh,10,10,eh,s_eh_010p.wav,s_eh_010tw,0.23171691912041437,s_eh_010p.wav,s_eh_010tw_12.wav,Stimuli/s_eh_010p.wav,Stimuli/s_eh_010tw_12.wav,0.5075098842119314
In dem Lexikon suchte Andrea nach einem Eintrag über,elefanten,3,16.0,54,68,10,249,0.04411764705882353,3.903314857665273,eh,303,303,eh,s_eh_303p.wav,s_eh_303tw,0.15539341258408412,s_eh_303p.wav,s_eh_303tw_6.wav,Stimuli/s_eh_303p.wav,Stimuli/s_eh_303tw_6.wav,0.5136087439359304
Seit einer Stunde sitze ich im Wartezimmer beim,papst,0,1.0,7,67,9,325,0.0,0.606918409597356,el_mm,394,394,el,s_el_394p.wav,s_el_mm_394tw,0.6393380845471063,s_el_394p.wav,s_el_mm_394tw_1.wav,Stimuli/s_el_394p.wav,Stimuli/s_el_mm_394tw_1.wav,0.5136408654856417
Das Tropfen des Wasserhahns hinterließ einen dunkeln,klang,1,5.0,13,68,8,83,0.01470588235294118,1.411263519373775,em_lc,79,79,em,s_em_079p.wav,s_em_lc_079tw,0.16642483838523836,s_em_079p.wav,s_em_lc_079tw_6.wav,Stimuli/s_em_079p.wav,Stimuli/s_em_lc_079tw_6.wav,0.5171977461019833
Der Baum im Herbst hat bunte,schleifen,0,1.0,1,66,7,89,0.0,0.0,el_mm,91,91,el,s_el_091p.wav,s_el_mm_091tw,0.20329513743583594,s_el_091p.wav,s_el_mm_091tw_6.wav,Stimuli/s_el_091p.wav,Stimuli/s_el_mm_091tw_6.wav,0.520469211837462
Nach einer Veranstaltung putzt die Reinigungsfirma den,stuhl,1,11.0,13,67,8,318,0.01492537313432836,1.598486733010881,em_lc,379,379,em,s_em_379p.wav,s_em_lc_379tw,0.552279896197847,s_em_379p.wav,s_em_lc_379tw_1.wav,Stimuli/s_em_379p.wav,Stimuli/s_em_lc_379tw_1.wav,0.5216787779113057
Das Haus am Ende der Straße hat neue,fenster,35,4.0,14,60,9,71,0.5833333333333334,1.631634333499502,em_hc,72,72,em,s_em_072p.wav,s_em_hc_072tw,0.5457022553618591,s_em_072p.wav,s_em_hc_072tw_1.wav,Stimuli/s_em_072p.wav,Stimuli/s_em_hc_072tw_1.wav,0.5226691226909866
Die Bewohner bemerkten den Einbruch erst am nächsten ,Wall,0,,2,44,9,13,0.0,0.6416366319605135,el_mm,170,170,el,s_el_170p.wav,s_el_mm_170tw,0.6964467450370888,s_el_170p.wav,s_el_mm_170tw_3.wav,Stimuli/s_el_170p.wav,Stimuli/s_el_mm_170tw_3.wav,0.5227590587377218
Der Plan hat Hand und ,Fuß ,46,,1,46,6,8,1.0,0.0,el,133,133,el,s_el_133p.wav,s_el_133tw,0.014170724707247784,s_el_133p.wav,s_el_133tw_6.wav,Stimuli/s_el_133p.wav,Stimuli/s_el_133tw_6.wav,0.5253021846466571
Trotz der aussichtslosen Situation verliert Laura nicht die,hoffnung,37,4.0,11,76,9,20,0.4868421052631579,1.641781404763434,em_hc,404,404,em,s_em_404p.wav,s_em_hc_404tw,0.3314472848586181,s_em_404p.wav,s_em_hc_404tw_12.wav,Stimuli/s_em_404p.wav,Stimuli/s_em_hc_404tw_12.wav,0.5261043434773127
In seinem alten Kinderzimmer suchte er nach seinem,teddy,9,35.0,39,67,9,277,0.1343283582089552,3.363602743266912,eh,330,330,eh,s_eh_330p.wav,s_eh_330tw,0.3609419603991014,s_eh_330p.wav,s_eh_330tw_12.wav,Stimuli/s_eh_330p.wav,Stimuli/s_eh_330tw_12.wav,0.5272704371097733
Im Streichelzoo gibt es freche,igel,1,5.0,11,65,6,238,0.01538461538461539,1.435100283600329,em_lc,285,285,em,s_em_285p.wav,s_em_lc_285tw,0.683430947346689,s_em_285p.wav,s_em_lc_285tw_1.wav,Stimuli/s_em_285p.wav,Stimuli/s_em_lc_285tw_1.wav,0.5311312274673231
Wir planen am Wochenende einen,umtrunk,1,9.0,10,65,6,351,0.01538461538461539,0.9442858669382372,em_lc,427,427,em,s_em_427p.wav,s_em_lc_427tw,0.5002182232631666,s_em_427p.wav,s_em_lc_427tw_12.wav,Stimuli/s_em_427p.wav,Stimuli/s_em_lc_427tw_12.wav,0.5377904537586993
Sie kam mit den Beinen kaum bis auf den ,Kessel,0,,4,45,10,35,0.0,0.3923791765259529,el_mm,396,396,el,s_el_396p.wav,s_el_mm_396tw,0.4195835840945974,s_el_396p.wav,s_el_mm_396tw_12.wav,Stimuli/s_el_396p.wav,Stimuli/s_el_mm_396tw_12.wav,0.5551617727569309
