Sentence,Target_word,WordPredictions,wn,nwords,nprt,nw,sn,cloze,entropy,condition,sn_rand,sn_0,Prior,Sentences,Target_word.1,randomization,Web_Audio,Single_word,sentence,word,randomize_4
Der Tod seines Hundes erfüllte ihn mit großer ,Trauer,41,,3,43,9,9,0.9534883720930233,0.220352331161548,el,145,145,el,s_el_145p.wav,s_el_145tw,0.13738981369599523,s_el_145p.wav,s_el_145tw_12.wav,Stimuli/s_el_145p.wav,Stimuli/s_el_145tw_12.wav,0.7043860462579714
Sie kam mit den Beinen kaum bis auf den ,Kessel,0,,4,45,10,35,0.0,0.3923791765259529,el_mm,396,396,el,s_el_396p.wav,s_el_mm_396tw,0.4195835840945974,s_el_396p.wav,s_el_mm_396tw_1.wav,Stimuli/s_el_396p.wav,Stimuli/s_el_mm_396tw_1.wav,0.7158351799818293
Auf der Straße repariert der Bauarbeiter ein,tor,1,17.0,17,65,8,33,0.01538461538461539,2.083047986725922,em_lc,28,28,em,s_em_028p.wav,s_em_lc_028tw,0.7409783990766099,s_em_028p.wav,s_em_lc_028tw_6.wav,Stimuli/s_em_028p.wav,Stimuli/s_em_lc_028tw_6.wav,0.7279004039829905
Der Comedien machte sich lustig über die,politiker,14,19.0,28,66,8,94,0.2121212121212121,2.849741969032072,eh,97,97,eh,s_eh_097p.wav,s_eh_097tw,0.6797382779008936,s_eh_097p.wav,s_eh_097tw_3.wav,Stimuli/s_eh_097p.wav,Stimuli/s_eh_097tw_3.wav,0.7326124495399489
Der Rapper singt über sein Leben auf der Straße und seine,liebe,10,18.0,26,68,12,128,0.1470588235294118,2.898879076682315,eh,135,135,eh,s_eh_135p.wav,s_eh_135tw,0.31786179700195616,s_eh_135p.wav,s_eh_135tw_1.wav,Stimuli/s_eh_135p.wav,Stimuli/s_eh_135tw_1.wav,0.7327130399172785
Die Menschen auf der Straße bestaunen den,künstler,8,15.0,39,66,8,177,0.1212121212121212,3.451719094914759,eh,206,206,eh,s_eh_206p.wav,s_eh_206tw,0.8557291061157861,s_eh_206p.wav,s_eh_206tw_6.wav,Stimuli/s_eh_206p.wav,Stimuli/s_eh_206tw_6.wav,0.7348440218114635
Meine Schwester studiert Medizin an der,universität,49,6.0,6,67,7,296,0.7313432835820896,0.9744178016214289,em_hc,354,354,em,s_em_354p.wav,s_em_hc_354tw,0.05594999379606069,s_em_354p.wav,s_em_hc_354tw_12.wav,Stimuli/s_em_354p.wav,Stimuli/s_em_hc_354tw_12.wav,0.7520264633650231
Das erste Mal spielte der Schauspieler die Rolle des,bösewichts,16,3.0,27,66,10,66,0.2424242424242424,2.766499916533065,eh,66,66,eh,s_eh_066p.wav,s_eh_066tw,0.9393673097121708,s_eh_066p.wav,s_eh_066tw_6.wav,Stimuli/s_eh_066p.wav,Stimuli/s_eh_066tw_6.wav,0.7629213268321553
Am ersten Wintertag hatte sein Auto zugefrorene ,Polster,0,,5,44,8,1,0.0,0.4306628574510463,el_mm,7,7,el,s_el_007p.wav,s_el_mm_007tw,0.5029535773738042,s_el_007p.wav,s_el_mm_007tw_3.wav,Stimuli/s_el_007p.wav,Stimuli/s_el_mm_007tw_3.wav,0.7639770943899804
Das Hochhaus ragte in den,himmel,65,1.0,2,66,6,72,0.9848484848484849,0.07851576409890412,el,74,74,el,s_el_074p.wav,s_el_074tw,0.7750798591104137,s_el_074p.wav,s_el_074tw_6.wav,Stimuli/s_el_074p.wav,Stimuli/s_el_074tw_6.wav,0.7645632935592432
Immer mehr Jugendliche nehmen leichtsinnigerweise ,Drogen ,43,,2,44,6,25,0.9772727272727273,0.108471339035916,el,297,297,el,s_el_297p.wav,s_el_297tw,0.47111329957453196,s_el_297p.wav,s_el_297tw_3.wav,Stimuli/s_el_297p.wav,Stimuli/s_el_297tw_3.wav,0.7756578076812525
Im Gefägnis waren Gitter vor den ,Fenstern,49,,3,52,7,24,0.9423076923076923,0.2572920076479544,el,271,271,el,s_el_271p.wav,s_el_271tw,0.12359201058339353,s_el_271p.wav,s_el_271tw_12.wav,Stimuli/s_el_271p.wav,Stimuli/s_el_271tw_12.wav,0.7849964764479628
"Sie strengte sich an, aber erkannte keine",muster,8,26.0,41,67,8,331,0.1194029850746269,3.489619067733407,eh,400,400,eh,s_eh_400p.wav,s_eh_400tw,0.2004780713121127,s_eh_400p.wav,s_eh_400tw_12.wav,Stimuli/s_eh_400p.wav,Stimuli/s_eh_400tw_12.wav,0.7859503884462955
Der Boxer schlug seinem Gegner auf die,nase,43,9.0,14,68,8,92,0.6323529411764706,1.433631423824815,em_hc,95,95,em,s_em_095p.wav,s_em_hc_095tw,0.951020436260346,s_em_095p.wav,s_em_hc_095tw_6.wav,Stimuli/s_em_095p.wav,Stimuli/s_em_hc_095tw_6.wav,0.7888009602864092
Sie wischte sich den Schweiß von der,stirn,65,4.0,4,68,8,333,0.9558823529411765,0.2292845795405712,el,402,402,el,s_el_402p.wav,s_el_402tw,0.14739509737517376,s_el_402p.wav,s_el_402tw_12.wav,Stimuli/s_el_402p.wav,Stimuli/s_el_402tw_12.wav,0.7917149665471365
Über Nacht liegt das Kreuzfahrtschiff sicher im,hafen,76,1.0,1,76,8,21,1.0,0.0,el,412,412,el,s_el_412p.wav,s_el_412tw,0.7279150065807186,s_el_412p.wav,s_el_412tw_6.wav,Stimuli/s_el_412p.wav,Stimuli/s_el_412tw_6.wav,0.7946684037521345
Rund um den Garten zog er einen ,gnom,0,,3,53,8,34,0.0,0.4252275911752877,el_mm,391,391,el,s_el_391p.wav,s_el_mm_391tw,0.021040217218277313,s_el_391p.wav,s_el_mm_391tw_12.wav,Stimuli/s_el_391p.wav,Stimuli/s_el_mm_391tw_12.wav,0.7983284100200829
Im Streit zog das Mädchen seiner Freundin an den,knöpfen,0,1.0,3,68,10,239,0.0,0.2994685109533696,el_mm,287,287,el,s_el_287p.wav,s_el_mm_287tw,0.042539697023417866,s_el_287p.wav,s_el_mm_287tw_12.wav,Stimuli/s_el_287p.wav,Stimuli/s_el_mm_287tw_12.wav,0.80885102303755
Morgens liest mein Vater,Zeitung,37,,4,40,5,27,0.925,0.3487803849180287,el,361,361,el,s_el_361p.wav,s_el_361tw,0.45192103706338993,s_el_361p.wav,s_el_361tw_3.wav,Stimuli/s_el_361p.wav,Stimuli/s_el_361tw_3.wav,0.8238069904740358
Der Schaffner wurde misstrauisch wegen des,tickets,23,23.0,26,66,7,130,0.3484848484848485,2.638984040413408,eh,136,136,eh,s_eh_136p.wav,s_eh_136tw,0.8771816951697382,s_eh_136p.wav,s_eh_136tw_6.wav,Stimuli/s_eh_136p.wav,Stimuli/s_eh_136tw_6.wav,0.8249837573496293
Während der Konzerttage spielt die Musikerin ein Stück auf ihrer,geige,23,4.0,12,68,11,345,0.3382352941176471,1.990518482240906,em_hc,422,422,em,s_em_422p.wav,s_em_hc_422tw,0.8640478828347163,s_em_422p.wav,s_em_hc_422tw_6.wav,Stimuli/s_em_422p.wav,Stimuli/s_em_hc_422tw_6.wav,0.8412240112545106
Der Wissenschaftler forscht an einem neuen Medikament gegen,krebs,40,8.0,11,67,9,146,0.5970149253731343,1.415487196191775,em_hc,158,158,em,s_em_158p.wav,s_em_hc_158tw,0.10043080696076168,s_em_158p.wav,s_em_hc_158tw_12.wav,Stimuli/s_em_158p.wav,Stimuli/s_em_hc_158tw_12.wav,0.8647054666622017
Die Forscherin entdeckt eine neue Pflanzenart im,dschungel,16,7.0,21,66,8,157,0.2424242424242424,2.513229419959056,eh,183,183,eh,s_eh_183p.wav,s_eh_183tw,0.04850861546355978,s_eh_183p.wav,s_eh_183tw_12.wav,Stimuli/s_eh_183p.wav,Stimuli/s_eh_183tw_12.wav,0.8663526860662477
Die Kaffeetasse auf dem Tisch hat ein Muster mit,blumen,25,2.0,26,68,10,167,0.3676470588235294,2.605279362890865,eh,192,192,eh,s_eh_192p.wav,s_eh_192tw,0.854881305334241,s_eh_192p.wav,s_eh_192tw_3.wav,Stimuli/s_eh_192p.wav,Stimuli/s_eh_192tw_3.wav,0.8696953047346027
Die weiße Wolke am Himmel sieht aus wie ein,schaf,12,23.0,30,67,10,188,0.1791044776119403,3.014355621412924,eh,219,219,eh,s_eh_219p.wav,s_eh_219tw,0.010418133673446683,s_eh_219p.wav,s_eh_219tw_12.wav,Stimuli/s_eh_219p.wav,Stimuli/s_eh_219tw_12.wav,0.8717300275756376
Von dem Lottogewinn kauft er sich ein schnelles,dreirad,0,1.0,9,65,9,342,0.0,0.6850643615527408,el_mm,420,420,el,s_el_420p.wav,s_el_mm_420tw,0.14024890754468378,s_el_420p.wav,s_el_mm_420tw_12.wav,Stimuli/s_el_420p.wav,Stimuli/s_el_mm_420tw_12.wav,0.879635488454842
